,level2,level3,level4,level5
cnn,0.663023679417122,0.4808743169398907,0.44626593806921677,0.9790209790209791
cnn_merge,0.5786713286713286,0.45104895104895104,0.4527972027972028,0.9667832167832168
3layer_cnn,0.6276223776223776,0.5262237762237763,0.5384615384615384,0.9790209790209791
rnn,0.6375227686703097,0.44405594405594406,0.45454545454545453,0.9597902097902098
rnn_mean,0.6247723132969034,0.4143356643356643,0.45454545454545453,0.9615384615384616
rnn_att,0.6757741347905283,0.486013986013986,0.4125874125874126,0.9597902097902098
rnn_cnn,0.6293706293706294,0.4807692307692308,0.43006993006993005,0.9597902097902098
all_attention,0.6484517304189436,0.5409836065573771,0.453551912568306,0.9581056466302368
